city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,date
saint-pierre,pm,"saint-pierre, pm",Saint-Pierre,PM,46.77,-56.17,32,100,40,28.86,32,2019-04-07
cumaribo,co,"cumaribo, co",,,,,,,,,,2019-04-07
erzin,ru,"erzin, ru",Erzin,RU,50.26,95.16,22.89,61,48,7.63,22.89,2019-04-07
ormara,pk,"ormara, pk",Ormara,PK,25.21,64.64,75.99,91,0,9.31,75.99,2019-04-07
kafanchan,ng,"kafanchan, ng",Kafanchan,NG,9.58,8.3,70.14,86,44,1.48,70.14,2019-04-07
jalu,ly,"jalu, ly",Jalu,LY,29.03,21.55,64.56,65,0,5.39,64.56,2019-04-07
souillac,mu,"souillac, mu",Souillac,MU,-20.52,57.52,79.66,78,20,11.41,80.6,2019-04-07
muisne,ec,"muisne, ec",Muisne,EC,0.61,-80.02,84.2,79,20,8.05,84.2,2019-04-07
cayenne,gf,"cayenne, gf",Cayenne,GF,4.94,-52.33,78.8,83,90,9.17,78.8,2019-04-07
flinders,au,"flinders, au",Flinders,AU,-34.58,150.85,65.05,76,0,2.93,71.01,2019-04-07
rio de janeiro,br,"rio de janeiro, br",Rio de Janeiro,BR,-22.91,-43.21,84.67,83,20,11.41,87.8,2019-04-07
andevoranto,mg,"andevoranto, mg",,,,,,,,,,2019-04-07
urusha,ru,"urusha, ru",Urusha,RU,54.05,122.9,32.16,40,0,6.29,32.16,2019-04-07
lavrentiya,ru,"lavrentiya, ru",Lavrentiya,RU,65.58,-170.99,15.24,100,0,37.38,15.24,2019-04-07
malartic,ca,"malartic, ca",Malartic,CA,48.14,-78.13,35.6,34,75,8.05,35.6,2019-04-07
taltal,cl,"taltal, cl",Taltal,CL,-25.41,-70.49,58.89,94,0,2.15,58.89,2019-04-07
cardenas,mx,"cardenas, mx",Cardenas,MX,27.62,-110.24,93.27,24,5,18.34,95,2019-04-07
kovylkino,ru,"kovylkino, ru",Kovylkino,RU,54.04,43.91,20.46,76,8,3.15,20.46,2019-04-07
nanortalik,gl,"nanortalik, gl",Nanortalik,GL,60.14,-45.24,29.01,95,56,3.38,29.01,2019-04-07
esperance,au,"esperance, au",Esperance,AU,-33.86,121.89,55.4,87,75,5.61,55.4,2019-04-07
khonuu,ru,"khonuu, ru",,,,,,,,,,2019-04-07
tolga,no,"tolga, no",Tolga,NO,62.41,11,28.4,86,80,13.87,28.4,2019-04-07
cabo san lucas,mx,"cabo san lucas, mx",Cabo San Lucas,MX,22.89,-109.91,77.9,47,5,11.41,82,2019-04-07
raton,us,"raton, us",Raton,US,36.9,-104.44,67.78,14,1,8.05,73.4,2019-04-07
faya,td,"faya, td",,,,,,,,,,2019-04-07
zagan,pl,"zagan, pl",Zagan,PL,51.62,15.31,44.76,75,0,7.52,48,2019-04-07
marshall,us,"marshall, us",Marshall,US,39.39,-87.69,72.34,69,40,16.11,73.99,2019-04-07
mandurah,au,"mandurah, au",Mandurah,AU,-32.55,115.7,57.79,76,0,8.05,57.99,2019-04-07
mazatan,mx,"mazatan, mx",,,,,,,,,,2019-04-07
sechura,pe,"sechura, pe",Sechura,PE,-5.56,-80.82,76.44,71,0,9.64,76.44,2019-04-07
fushan,cn,"fushan, cn",Fushan,CN,32.67,118.71,62.01,99,0,3,62.01,2019-04-07
maragogi,br,"maragogi, br",Maragogi,BR,-9.01,-35.22,77.61,96,68,4.16,77.61,2019-04-07
yar-sale,ru,"yar-sale, ru",Yar-Sale,RU,66.83,70.83,14.07,74,0,7.29,14.07,2019-04-07
mecca,sa,"mecca, sa",Mecca,SA,21.43,39.83,69.51,66,0,2.59,69.51,2019-04-07
meulaboh,id,"meulaboh, id",Meulaboh,ID,4.14,96.13,79.86,100,44,2.26,79.86,2019-04-07
conde,br,"conde, br",Conde,BR,-11.81,-37.61,81.12,87,76,6.62,81.12,2019-04-07
ixtapa,mx,"ixtapa, mx",Ixtapa,MX,20.71,-105.21,79.43,65,5,17.22,80.01,2019-04-07
mazagao,br,"mazagao, br",Mazagao,BR,-0.12,-51.29,78.8,100,75,5.82,78.8,2019-04-07
sur,om,"sur, om",Sur,OM,22.57,59.53,82.47,78,20,7.63,82.47,2019-04-07
lincoln,nz,"lincoln, nz",Lincoln,NZ,-43.64,172.49,56.5,87,0,4.7,61,2019-04-07
clyde river,ca,"clyde river, ca",Clyde River,CA,70.47,-68.59,10.4,85,68,5.82,10.4,2019-04-07
ballina,au,"ballina, au",Ballina,AU,-28.87,153.57,65.73,88,0,3.36,73,2019-04-07
siniscola,it,"siniscola, it",Siniscola,IT,40.57,9.69,50,87,0,3.36,50,2019-04-07
iquitos,pe,"iquitos, pe",Iquitos,PE,-3.75,-73.25,42.8,319,90,4.7,42.8,2019-04-07
broome,au,"broome, au",Broome,AU,-17.97,122.23,80.6,88,12,3.36,80.6,2019-04-07
tura,ru,"tura, ru",Tura,RU,64.27,100.22,20.46,77,76,4.16,20.46,2019-04-07
omsukchan,ru,"omsukchan, ru",Omsukchan,RU,62.53,155.8,24.78,84,12,3.6,24.78,2019-04-07
omboue,ga,"omboue, ga",Omboue,GA,-1.57,9.26,83.82,100,88,4.72,83.82,2019-04-07
palabuhanratu,id,"palabuhanratu, id",,,,,,,,,,2019-04-07
carutapera,br,"carutapera, br",Carutapera,BR,-1.2,-46.02,77.61,95,36,4.5,77.61,2019-04-07
lawigan,ph,"lawigan, ph",Lawigan,PH,10.49,122.04,81.39,100,0,18.7,81.39,2019-04-07
severo-kurilsk,ru,"severo-kurilsk, ru",Severo-Kurilsk,RU,50.68,156.12,32.88,94,92,25.75,32.88,2019-04-07
vardo,no,"vardo, no",Vardo,NO,70.37,31.11,24.8,79,40,11.41,24.8,2019-04-07
aksarka,ru,"aksarka, ru",Aksarka,RU,66.56,67.8,12,74,0,3.04,12,2019-04-07
douglas,us,"douglas, us",Douglas,US,31.51,-82.85,81.01,57,44,3.36,82.99,2019-04-07
gryfice,pl,"gryfice, pl",Gryfice,PL,53.91,15.2,45.18,46,0,4.7,50,2019-04-07
phumi samraong,kh,"phumi samraong, kh",,,,,,,,,,2019-04-07
buenos aires,cr,"buenos aires, cr",Buenos Aires,CR,9.17,-83.33,72.12,100,92,1.59,72.12,2019-04-07
praia da vitoria,pt,"praia da vitoria, pt",Praia da Vitoria,PT,38.73,-27.07,54.63,71,40,23.17,55.4,2019-04-07
coahuayana,mx,"coahuayana, mx",Coahuayana,MX,18.62,-100.35,84.54,18,0,2.71,84.54,2019-04-07
irara,br,"irara, br",Irara,BR,-12.05,-38.77,75.63,91,80,5.61,75.63,2019-04-07
malanje,ao,"malanje, ao",Malanje,AO,-9.54,16.35,67.71,96,88,2.37,67.71,2019-04-07
karauzyak,uz,"karauzyak, uz",,,,,,,,,,2019-04-07
valdivia,cl,"valdivia, cl",Valdivia,CL,-39.81,-73.25,73.4,60,0,5.82,73.4,2019-04-07
deputatskiy,ru,"deputatskiy, ru",Deputatskiy,RU,69.3,139.9,19.74,87,0,3.94,19.74,2019-04-07
cabrera,co,"cabrera, co",Cabrera,CO,3.98,-74.48,60.51,93,80,0.69,60.51,2019-04-07
alghero,it,"alghero, it",Alghero,IT,40.56,8.32,48.2,100,75,2.24,48.2,2019-04-07
cibitoke,bi,"cibitoke, bi",Cibitoke,BI,-2.89,29.12,57.54,92,32,2.93,57.54,2019-04-07
cravo norte,co,"cravo norte, co",Cravo Norte,CO,6.3,-70.2,91.29,33,8,7.63,91.29,2019-04-07
indapur,in,"indapur, in",Indapur,IN,18.31,73.24,61.32,97,0,1.81,61.32,2019-04-07
esfarayen,ir,"esfarayen, ir",Esfarayen,IR,37.08,57.51,57.2,87,90,2.37,57.2,2019-04-07
fairbanks,us,"fairbanks, us",Fairbanks,US,64.84,-147.72,49.95,34,1,7.29,53.01,2019-04-07
aksay,kz,"aksay, kz",Aksay,KZ,51.17,53.01,45.21,79,92,3.15,45.21,2019-04-07
meyungs,pw,"meyungs, pw",,,,,,,,,,2019-04-07
jequie,br,"jequie, br",,,,,,,,,,2019-04-07
aklavik,ca,"aklavik, ca",Aklavik,CA,68.22,-135.01,19.4,48,40,2.24,19.4,2019-04-07
alta floresta,br,"alta floresta, br",Alta Floresta,BR,-9.87,-56.08,74.64,94,88,1.92,74.64,2019-04-07
qurbah,tn,"qurbah, tn",,,,,,,,,,2019-04-07
manono,cd,"manono, cd",Manono,CD,-7.3,27.4,68.79,98,36,5.28,68.79,2019-04-07
awjilah,ly,"awjilah, ly",Awjilah,LY,29.14,21.3,66.81,48,0,6.85,66.81,2019-04-07
peniche,pt,"peniche, pt",Peniche,PT,39.36,-9.38,55.62,93,90,8.05,57.99,2019-04-07
pingzhuang,cn,"pingzhuang, cn",,,,,,,,,,2019-04-07
ponta delgada,pt,"ponta delgada, pt",Ponta Delgada,PT,37.73,-25.67,55.18,66,75,5.82,55.4,2019-04-07
yei,sd,"yei, sd",,,,,,,,,,2019-04-07
bolungarvik,is,"bolungarvik, is",,,,,,,,,,2019-04-07
marzuq,ly,"marzuq, ly",,,,,,,,,,2019-04-07
coihaique,cl,"coihaique, cl",Coihaique,CL,-45.58,-72.07,59,87,75,5.82,59,2019-04-07
geraldton,au,"geraldton, au",Geraldton,AU,-28.77,114.6,51.8,93,0,5.82,51.8,2019-04-07
ancud,cl,"ancud, cl",Ancud,CL,-41.87,-73.83,66.2,72,40,8.05,66.2,2019-04-07
pietarsaari,fi,"pietarsaari, fi",,,,,,,,,,2019-04-07
cheremukhovo,ru,"cheremukhovo, ru",Cheremukhovo,RU,56.23,46.23,28.02,90,0,6.85,28.02,2019-04-07
mangai,cd,"mangai, cd",Mangai,CD,-4.07,19.59,75.27,95,100,2.48,75.27,2019-04-07
victor harbor,au,"victor harbor, au",Victor Harbor,AU,-35.55,138.62,59.94,82,75,9.17,63,2019-04-07
ketchikan,us,"ketchikan, us",Ketchikan,US,55.34,-131.65,47.03,87,90,23.04,48.2,2019-04-07
lesnoy,ru,"lesnoy, ru",Lesnoy,RU,59.78,52.13,33.6,97,88,8.63,33.6,2019-04-07
saint-philippe,re,"saint-philippe, re",Saint-Philippe,RE,-21.36,55.77,71.91,73,0,5.82,78.8,2019-04-07
kidal,ml,"kidal, ml",Kidal,ML,18.44,1.41,66.54,22,0,9.75,66.54,2019-04-07
hereford,gb,"hereford, gb",Hereford,GB,52.06,-2.72,50.16,86,88,7.85,51.01,2019-04-07
mandalgovi,mn,"mandalgovi, mn",Mandalgovi,MN,45.76,106.27,28.74,77,92,14.34,28.74,2019-04-07
copiapo,cl,"copiapo, cl",Copiapo,CL,-27.37,-70.33,68,60,20,9.17,68,2019-04-07
nome,us,"nome, us",Nome,US,30.04,-94.42,66.2,88,1,8.05,68,2019-04-07
jutogh,in,"jutogh, in",Jutogh,IN,31.1,77.12,50.07,58,88,1.7,50.07,2019-04-07
srednekolymsk,ru,"srednekolymsk, ru",Srednekolymsk,RU,67.46,153.71,14.97,76,12,3.15,14.97,2019-04-07
arlit,ne,"arlit, ne",Arlit,NE,18.74,7.39,69.51,20,0,4.83,69.51,2019-04-07
cabinda,ao,"cabinda, ao",Cabinda,AO,-5.56,12.19,81.48,100,88,2.71,81.48,2019-04-07
rio cuarto,ar,"rio cuarto, ar",Rio Cuarto,AR,-33.13,-64.35,75.2,33,0,10.29,75.2,2019-04-07
grand gaube,mu,"grand gaube, mu",Grand Gaube,MU,-20.01,57.66,79.83,78,20,11.41,80.6,2019-04-07
gazanjyk,tm,"gazanjyk, tm",Gazanjyk,TM,39.24,55.52,54.84,90,88,2.93,54.84,2019-04-07
necochea,ar,"necochea, ar",Necochea,AR,-38.55,-58.74,68.52,53,0,10.42,68.52,2019-04-07
kruisfontein,za,"kruisfontein, za",Kruisfontein,ZA,-34,24.73,64.74,79,44,13.11,64.74,2019-04-07
bayir,jo,"bayir, jo",,,,,,,,,,2019-04-07
tautira,pf,"tautira, pf",Tautira,PF,-17.73,-149.15,87.22,70,20,8.05,87.8,2019-04-07
wad madani,sd,"wad madani, sd",,,,,,,,,,2019-04-07
gwanda,zw,"gwanda, zw",Gwanda,ZW,-20.94,29,66.99,85,64,10.09,66.99,2019-04-07
cloquet,us,"cloquet, us",Cloquet,US,46.72,-92.46,38.37,93,90,14,42.8,2019-04-07
nishihara,jp,"nishihara, jp",Nishihara,JP,35.74,139.53,47.79,87,90,12.75,50,2019-04-07
lufilufi,ws,"lufilufi, ws",Lufilufi,WS,-13.87,-171.6,89.19,70,40,12.75,89.6,2019-04-07
carroll,us,"carroll, us",Carroll,US,42.07,-94.87,65.53,68,75,16.11,66.99,2019-04-07
abu samrah,qa,"abu samrah, qa",,,,,,,,,,2019-04-07
oktyabrskoye,ru,"oktyabrskoye, ru",Oktyabrskoye,RU,56.73,85.44,29.39,74,0,6.71,30.99,2019-04-07
callaguip,ph,"callaguip, ph",Callaguip,PH,18.07,120.49,75.2,94,40,3.36,75.2,2019-04-07
blagoyevo,ru,"blagoyevo, ru",Blagoyevo,RU,63.37,47.92,25.86,77,32,3.15,25.86,2019-04-07
kloulklubed,pw,"kloulklubed, pw",Kloulklubed,PW,7.04,134.26,81.66,99,76,13.22,81.66,2019-04-07
quzhou,cn,"quzhou, cn",Quzhou,CN,28.97,118.86,66.9,87,32,3.49,66.9,2019-04-07
ponta do sol,cv,"ponta do sol, cv",Ponta do Sol,CV,17.2,-25.09,69.8,73,40,18.34,69.8,2019-04-07
sayyan,ye,"sayyan, ye",Sayyan,YE,15.17,44.32,44.22,81,0,1.36,44.22,2019-04-07
kushmurun,kz,"kushmurun, kz",,,,,,,,,,2019-04-07
sotouboua,tg,"sotouboua, tg",Sotouboua,TG,8.56,0.98,73.92,95,64,3.15,73.92,2019-04-07
atambua,id,"atambua, id",Atambua,ID,-9.11,124.89,81.12,97,0,2.59,81.12,2019-04-07
zachagansk,kz,"zachagansk, kz",,,,,,,,,,2019-04-07
hualmay,pe,"hualmay, pe",Hualmay,PE,-11.1,-77.61,70.14,78,8,2.71,70.14,2019-04-07
harper,lr,"harper, lr",Harper,LR,4.38,-7.71,82.02,100,68,10.2,82.02,2019-04-07
tessalit,ml,"tessalit, ml",Tessalit,ML,20.2,1.01,56.91,32,0,3.94,56.91,2019-04-07
atlantic city,us,"atlantic city, us",,,,,,,,,,2019-04-07
kamareddi,in,"kamareddi, in",Kamareddi,IN,18.32,78.34,76.17,55,0,8.52,76.17,2019-04-07
wyndham,nz,"wyndham, nz",Wyndham,NZ,-46.33,168.85,54,81,0,4.83,54,2019-04-07
beloha,mg,"beloha, mg",Beloha,MG,-25.17,45.06,72.93,79,0,9.19,72.93,2019-04-07
vallenar,cl,"vallenar, cl",Vallenar,CL,-28.58,-70.76,58.53,90,0,1.7,58.53,2019-04-07
meilu,cn,"meilu, cn",,,,,,,,,,2019-04-07
nantucket,us,"nantucket, us",Nantucket,US,41.28,-70.1,48.34,81,1,8.05,52,2019-04-07
amapa,br,"amapa, br",Amapa,BR,-1.83,-56.23,79.23,88,32,2.48,79.23,2019-04-07
mount pleasant,us,"mount pleasant, us",Mount Pleasant,US,32.79,-79.86,71.51,88,90,9.17,73,2019-04-07
teguldet,ru,"teguldet, ru",Teguldet,RU,57.31,88.17,22.44,90,0,4.94,22.44,2019-04-07
adolfo lopez mateos,mx,"adolfo lopez mateos, mx",Adolfo Lopez Mateos,MX,26.8,-109.39,83.97,45,0,8.01,86,2019-04-07
abhayapuri,in,"abhayapuri, in",Abhayapuri,IN,26.33,90.67,60.24,96,48,3.94,60.24,2019-04-07
moron,mn,"moron, mn",Moron,MN,47.38,110.32,24.51,41,44,4.05,24.51,2019-04-07
san quintin,mx,"san quintin, mx",,,,,,,,,,2019-04-07
juneau,us,"juneau, us",Juneau,US,58.3,-134.42,46.63,81,90,20.8,48.2,2019-04-07
hofn,is,"hofn, is",Hofn,IS,64.25,-15.21,36.21,100,88,14.12,36.21,2019-04-07
bethel,us,"bethel, us",Bethel,US,60.79,-161.76,36.5,64,20,11.41,37.4,2019-04-07
ichhawar,in,"ichhawar, in",Ichhawar,IN,23.03,77.02,62.76,93,0,3.15,62.76,2019-04-07
taitung,tw,"taitung, tw",Taitung,TW,22.76,121.15,69.8,88,40,4.7,69.8,2019-04-07
meadow lake,ca,"meadow lake, ca",Meadow Lake,CA,54.13,-108.44,41,80,75,5.82,41,2019-04-07
jiroft,ir,"jiroft, ir",,,,,,,,,,2019-04-07
iqaluit,ca,"iqaluit, ca",Iqaluit,CA,63.75,-68.52,20.44,85,90,25.28,21,2019-04-07
mudgee,au,"mudgee, au",Mudgee,AU,-32.6,149.59,59,77,0,3.36,59,2019-04-07
ust-kut,ru,"ust-kut, ru",Ust-Kut,RU,56.78,105.75,26.49,50,64,4.16,26.49,2019-04-07
dimapur,in,"dimapur, in",Dimapur,IN,25.91,93.73,63.3,97,92,1.7,63.3,2019-04-07
prince rupert,ca,"prince rupert, ca",Prince Rupert,CA,54.32,-130.32,46.4,87,90,13.87,46.4,2019-04-07
calamba,ph,"calamba, ph",Calamba,PH,14.21,121.17,81.54,69,40,4.7,84.99,2019-04-07
labuan,my,"labuan, my",Labuan,MY,5.33,115.2,78.35,94,75,2.24,78.8,2019-04-07
dunajska streda,sk,"dunajska streda, sk",Dunajska Streda,SK,47.99,17.61,50.54,71,0,3.36,53.6,2019-04-07
nouadhibou,mr,"nouadhibou, mr",Nouadhibou,MR,20.93,-17.03,64.4,72,36,16.11,64.4,2019-04-07
yabrud,sy,"yabrud, sy",Yabrud,SY,33.97,36.66,53.6,76,0,2.24,53.6,2019-04-07
aasiaat,gl,"aasiaat, gl",Aasiaat,GL,68.71,-52.87,30.36,85,44,10.76,30.36,2019-04-07
haines junction,ca,"haines junction, ca",Haines Junction,CA,60.75,-137.51,36.93,71,56,3.27,36.93,2019-04-07
sembe,cg,"sembe, cg",Sembe,CG,1.65,14.58,70.77,96,92,2.15,70.77,2019-04-07
kiruna,se,"kiruna, se",Kiruna,SE,67.86,20.23,21.2,79,0,5.39,21.2,2019-04-07
okato,nz,"okato, nz",Okato,NZ,-39.19,173.88,61.5,82,12,5.01,64.99,2019-04-07
sawtell,au,"sawtell, au",Sawtell,AU,-30.38,153.1,69.12,78,0,9.17,71.6,2019-04-07
opportunity,us,"opportunity, us",Opportunity,US,46.11,-112.83,51.8,55,90,9.17,51.8,2019-04-07
dingle,ie,"dingle, ie",Dingle,IE,52.14,-10.27,48.27,97,0,14,48.27,2019-04-07
tay ninh,vn,"tay ninh, vn",Tay Ninh,VN,11.3,106.1,76.44,88,32,4.38,76.44,2019-04-07
burnie,au,"burnie, au",Burnie,AU,-41.05,145.91,55.8,79,80,22.95,60.01,2019-04-07
abiy adi,et,"abiy adi, et",,,,,,,,,,2019-04-07
mabini,ph,"mabini, ph",Mabini,PH,7.31,125.85,78.8,100,75,4.7,78.8,2019-04-07
ngukurr,au,"ngukurr, au",,,,,,,,,,2019-04-07
chernoistochinsk,ru,"chernoistochinsk, ru",Chernoistochinsk,RU,57.74,59.87,34.77,85,80,6.17,34.77,2019-04-07
bundaberg,au,"bundaberg, au",Bundaberg,AU,-24.87,152.35,70.38,82,48,8.05,77,2019-04-07
avrille,fr,"avrille, fr",Avrille,FR,47.5,-0.58,43.03,93,0,3.38,46,2019-04-07
pangnirtung,ca,"pangnirtung, ca",Pangnirtung,CA,66.15,-65.72,20.37,93,80,4.16,20.37,2019-04-07
waipawa,nz,"waipawa, nz",Waipawa,NZ,-39.94,176.59,54,96,92,12.88,54,2019-04-07
port-cartier,ca,"port-cartier, ca",Port-Cartier,CA,50.03,-66.88,24.93,27,75,14.99,25,2019-04-07
trairi,br,"trairi, br",Trairi,BR,-3.28,-39.27,84.09,97,0,15.46,84.09,2019-04-07
norman wells,ca,"norman wells, ca",Norman Wells,CA,65.28,-126.83,30.2,68,90,6.93,30.2,2019-04-07
khrebtovaya,ru,"khrebtovaya, ru",Khrebtovaya,RU,56.71,104.25,27.39,64,0,6.51,27.39,2019-04-07
palasa,in,"palasa, in",Palasa,IN,18.77,84.42,81.3,88,12,13.78,81.3,2019-04-07
bombay,nz,"bombay, nz",Bombay,NZ,-37.19,174.99,62.91,72,32,3.36,66,2019-04-07
baboua,cf,"baboua, cf",,,,,,,,,,2019-04-07
pella,us,"pella, us",Pella,US,41.41,-92.92,69.48,60,40,5.82,73.4,2019-04-07
acapulco,mx,"acapulco, mx",Acapulco,MX,16.86,-99.88,82.4,74,75,8.05,82.4,2019-04-07
buloh kasap,my,"buloh kasap, my",Buloh Kasap,MY,2.55,102.76,78.44,83,75,3.36,78.8,2019-04-07
zhigansk,ru,"zhigansk, ru",Zhigansk,RU,66.77,123.37,25.5,76,24,6.73,25.5,2019-04-07
banjar,id,"banjar, id",Banjar,ID,-7.37,108.54,73.47,97,56,2.37,73.47,2019-04-07
chimbote,pe,"chimbote, pe",Chimbote,PE,-9.08,-78.59,70.23,86,24,5.61,70.23,2019-04-07
vostok,ru,"vostok, ru",Vostok,RU,46.45,135.83,36.39,83,32,2.93,36.39,2019-04-07
agirish,ru,"agirish, ru",Agirish,RU,61.92,63.02,31.35,84,64,5.95,31.35,2019-04-07
louisbourg,ca,"louisbourg, ca",,,,,,,,,,2019-04-07
bonavista,ca,"bonavista, ca",Bonavista,CA,48.65,-53.11,30,88,88,5.01,30,2019-04-07
antigonish,ca,"antigonish, ca",Antigonish,CA,45.62,-61.99,33.91,43,75,11.41,35.6,2019-04-07
tocopilla,cl,"tocopilla, cl",Tocopilla,CL,-22.09,-70.2,63.84,100,8,5.5,63.84,2019-04-07
ambilobe,mg,"ambilobe, mg",Ambilobe,MG,-13.19,49.05,74.91,95,92,4.72,74.91,2019-04-07
eureka,us,"eureka, us",Eureka,US,40.8,-124.16,62.13,88,90,9.17,64.99,2019-04-07
ulladulla,au,"ulladulla, au",Ulladulla,AU,-35.36,150.48,61.63,76,0,6.4,69.01,2019-04-07
lagos,ng,"lagos, ng",Lagos,NG,6.46,3.39,75.2,94,20,3.36,75.2,2019-04-07
dryden,ca,"dryden, ca",Dryden,CA,49.79,-92.84,37.4,100,90,4.7,37.4,2019-04-07
takab,ir,"takab, ir",Takab,IR,36.4,47.11,37.47,97,80,2.26,37.47,2019-04-07
morant bay,jm,"morant bay, jm",Morant Bay,JM,17.88,-76.41,84.2,62,20,27.51,84.2,2019-04-07
black diamond,ca,"black diamond, ca",Black Diamond,CA,50.69,-114.23,53.4,20,75,13.87,55.4,2019-04-07
kirakira,sb,"kirakira, sb",Kirakira,SB,-10.46,161.92,83.19,100,44,3.6,83.19,2019-04-07
majholi,in,"majholi, in",Majholi,IN,23.5,79.93,73.92,49,0,2.71,73.92,2019-04-07
longhua,cn,"longhua, cn",Longhua,CN,29.21,106.21,73.38,58,8,4.94,73.38,2019-04-07
salalah,om,"salalah, om",Salalah,OM,17.01,54.1,78.8,83,20,2.24,78.8,2019-04-07
kudowa-zdroj,pl,"kudowa-zdroj, pl",Kudowa-Zdroj,PL,50.44,16.24,45.7,75,0,4.16,52,2019-04-07
avanigadda,in,"avanigadda, in",Avanigadda,IN,16.02,80.92,77.61,91,0,5.73,77.61,2019-04-07
gurskoye,ru,"gurskoye, ru",,,,,,,,,,2019-04-07
grand centre,ca,"grand centre, ca",,,,,,,,,,2019-04-07
yaring,th,"yaring, th",Yaring,TH,6.87,101.37,77.34,91,36,3.27,77.34,2019-04-07
kyra,ru,"kyra, ru",Kyra,RU,49.58,111.97,18.3,62,0,2.15,18.3,2019-04-07
chabahar,ir,"chabahar, ir",Chabahar,IR,25.29,60.65,77.16,94,12,6.62,77.16,2019-04-07
moose jaw,ca,"moose jaw, ca",Moose Jaw,CA,50.4,-105.54,60.4,25,40,8.05,62.01,2019-04-07
manta,ec,"manta, ec",Manta,EC,-0.95,-80.73,80.6,78,20,9.17,80.6,2019-04-07
dicabisagan,ph,"dicabisagan, ph",Dicabisagan,PH,17.08,122.42,77.07,100,68,3.94,77.07,2019-04-07
ust-kamchatsk,ru,"ust-kamchatsk, ru",,,,,,,,,,2019-04-07
evensk,ru,"evensk, ru",Evensk,RU,61.92,159.24,27.93,93,0,16.69,27.93,2019-04-07
sao sebastiao,br,"sao sebastiao, br",Sao Sebastiao,BR,-3.15,-58.36,75.36,97,80,2.37,75.36,2019-04-07
kavaratti,in,"kavaratti, in",Kavaratti,IN,10.57,72.64,84.9,100,0,6.85,84.9,2019-04-07
mookane,bw,"mookane, bw",Mookane,BW,-23.68,26.66,66.63,77,32,8.97,66.63,2019-04-07
omvriaki,gr,"omvriaki, gr",Omvriaki,GR,39.1,22.27,52.75,93,40,2.15,55.4,2019-04-07
krasnoselkup,ru,"krasnoselkup, ru",,,,,,,,,,2019-04-07
qasigiannguit,gl,"qasigiannguit, gl",Qasigiannguit,GL,68.82,-51.19,39.2,48,44,16.11,39.2,2019-04-07
uyemskiy,ru,"uyemskiy, ru",Uyemskiy,RU,64.47,40.85,33.8,69,40,2.24,33.8,2019-04-07
ottumwa,us,"ottumwa, us",Ottumwa,US,41.02,-92.41,70.56,49,1,12.75,73.4,2019-04-07
bac lieu,vn,"bac lieu, vn",,,,,,,,,,2019-04-07
ossora,ru,"ossora, ru",Ossora,RU,59.24,163.07,27.75,99,20,9.98,27.75,2019-04-07
brookhaven,us,"brookhaven, us",Brookhaven,US,40.78,-72.92,54.77,66,1,10.29,57.99,2019-04-07
pisco,pe,"pisco, pe",Pisco,PE,-13.71,-76.2,71.6,30,0,6.93,71.6,2019-04-07
los llanos de aridane,es,"los llanos de aridane, es",Los Llanos de Aridane,ES,28.66,-17.92,60.6,72,40,2.24,64.4,2019-04-07
marathon,us,"marathon, us",Marathon,US,42.44,-76.03,61.95,48,1,6.93,64.99,2019-04-07
haileybury,ca,"haileybury, ca",Haileybury,CA,47.44,-79.64,37.4,55,90,16.11,37.4,2019-04-07
mackay,au,"mackay, au",Mackay,AU,-21.15,149.2,74.59,93,0,6.93,82.99,2019-04-07
samarai,pg,"samarai, pg",Samarai,PG,-10.62,150.67,78.15,100,76,4.94,78.15,2019-04-07
saint anthony,ca,"saint anthony, ca",,,,,,,,,,2019-04-07
huangmei,cn,"huangmei, cn",Huangmei,CN,30.1,115.95,69.24,85,0,6.51,69.24,2019-04-07
abha,sa,"abha, sa",Abha,SA,18.22,42.5,62.67,55,0,2.59,64.4,2019-04-07
ardistan,ir,"ardistan, ir",,,,,,,,,,2019-04-07
yen bai,vn,"yen bai, vn",Yen Bai,VN,21.7,104.87,73.02,97,76,2.71,73.02,2019-04-07
hay river,ca,"hay river, ca",Hay River,CA,60.82,-115.79,39.2,69,90,4.7,39.2,2019-04-07
griffith,au,"griffith, au",Griffith,AU,-34.29,146.06,52.43,71,20,4.61,53.6,2019-04-07
cooma,au,"cooma, au",Cooma,AU,-36.24,149.13,60.8,55,0,8.05,60.8,2019-04-07
tynda,ru,"tynda, ru",Tynda,RU,55.15,124.74,27.39,63,0,4.94,27.39,2019-04-07
hannan,jp,"hannan, jp",Hannan,JP,34.32,135.23,53.74,81,20,4.7,54,2019-04-07
bosaso,so,"bosaso, so",Bosaso,SO,11.28,49.18,79.05,100,0,4.16,79.05,2019-04-07
labytnangi,ru,"labytnangi, ru",Labytnangi,RU,66.66,66.39,11.91,68,0,3.38,11.91,2019-04-07
bairiki,ki,"bairiki, ki",,,,,,,,,,2019-04-07
vadso,no,"vadso, no",Vadso,NO,70.07,29.75,24.8,79,40,11.41,24.8,2019-04-07
greymouth,nz,"greymouth, nz",Greymouth,NZ,-42.45,171.21,58.71,95,0,1.14,58.71,2019-04-07
krynychky,ua,"krynychky, ua",Krynychky,UA,48.37,34.46,48.2,57,0,8.95,48.2,2019-04-07
troitsko-pechorsk,ru,"troitsko-pechorsk, ru",Troitsko-Pechorsk,RU,62.71,56.19,35.22,98,92,5.73,35.22,2019-04-07
