City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,cradock,76,ZA,1554078371,37,-32.16,25.62,70.82,7.76
88,kapaa,40,US,1554078208,61,22.08,-159.32,81.0,14.99
89,channel-port aux basques,80,CA,1554078371,94,47.57,-59.14,32.39,21.74
90,bay roberts,90,CA,1554078208,100,47.58,-53.28,42.8,14.99
91,bluff,0,AU,1554078372,50,-23.58,149.07,70.01,9.1
92,kathmandu,20,NP,1554076200,93,27.71,85.32,50.0,4.7
93,westport,76,IE,1554078126,88,53.8,-9.52,44.01,1.01
94,haines junction,0,CA,1554078372,46,60.75,-137.51,41.57,2.62
95,la ronge,20,CA,1554073200,47,55.1,-105.3,33.8,11.41
96,mar del plata,76,AR,1554078118,39,-46.43,-67.52,67.04,10.67
97,saskylakh,68,RU,1554078373,86,71.97,114.09,24.2,15.03
98,kharabali,0,RU,1554078373,85,47.41,47.25,30.59,9.22
99,albania,80,CO,1554078373,92,5.76,-73.91,65.78,2.06
100,port elizabeth,1,US,1554078198,34,39.31,-74.98,48.99,18.34
101,poum,0,MK,1554078073,71,41.28,20.71,31.76,1.72
102,buin,88,CL,1554078204,72,-33.73,-70.74,70.0,4.7
103,rocha,36,UY,1554078356,90,-34.48,-54.34,65.33,5.3
104,cape town,40,ZA,1554078191,77,-33.93,18.42,61.0,6.93
105,faanui,0,PF,1554078311,100,-16.48,-151.75,83.87,5.41
106,bredasdorp,0,ZA,1554076800,77,-34.53,20.04,59.0,10.29
107,turbat,0,PK,1554078374,56,26.0,63.05,66.05,2.73
108,twentynine palms,1,US,1554078019,11,34.14,-116.05,89.6,9.17
109,los llanos de aridane,0,ES,1554077825,67,28.66,-17.92,60.8,6.93
110,sola,75,FI,1554078127,73,62.78,29.36,26.6,5.82
111,nikolskoye,40,RU,1554078339,86,59.7,30.79,33.8,15.66
112,champerico,75,MX,1554075960,61,16.38,-93.6,80.6,32.21
113,dunedin,0,NZ,1554078099,41,-45.87,170.5,68.0,11.01
114,codajas,48,BR,1554078376,68,-3.84,-62.06,85.04,4.85
115,barrow,80,AR,1554078376,43,-38.31,-60.23,73.16,8.21
116,sturgis,1,US,1554078362,42,44.41,-103.51,52.0,13.87
117,severo-kurilsk,68,RU,1554078376,99,50.68,156.12,29.69,2.95
118,sibolga,48,ID,1554078376,100,1.74,98.78,69.65,2.06
119,port blair,0,IN,1554078231,100,11.67,92.75,83.24,7.87
120,aykhal,44,RU,1554078335,84,65.95,111.51,25.46,8.32
121,talnakh,92,RU,1554078377,90,69.49,88.39,28.7,14.81
122,dutlwe,100,BW,1554078377,63,-23.98,23.93,75.23,2.95
123,puerto baquerizo moreno,40,EC,1554073200,70,-0.9,-89.6,86.0,11.41
124,novikovo,0,UA,1554078378,100,45.05,34.56,34.01,5.19
125,rawson,8,AR,1554078378,31,-43.3,-65.11,65.42,5.19
126,vardo,75,US,1554078245,47,39.62,-77.74,42.01,16.11
127,matara,12,PE,1554078378,80,-13.74,-72.9,48.86,1.95
128,pochutla,75,MX,1554077831,51,15.74,-96.47,84.2,4.52
129,garowe,92,SO,1554078379,95,8.41,48.48,68.39,6.31
